x,y,label,text
7.4796214,4.965177,7," I don't know, I can't really think of anything.  I just been playing a little golf and producing a baby and that is all, really.  Just stay home."
7.663672,4.863393,7," No, and don't tell me what is going on. I don't and don't tell me what is going on.  Please."
6.218374,5.302598,2,"  Yeah, I think I'm always pretty good no matter if we have fans or not.  I always talk about staying in my bubble, and that term has really got a different meaning this year."
6.6722856,4.805119,4,"I was going to say, Marcus over here was in the finals of the MVP of the American League, and here you are sitting here first Team. Does this validate the season you put together?"
8.219863,4.003219,2," Obviously today was more of a grind than last Thursday.  But still, still saw some good scores, obviously not as many as we saw last week."
5.4432783,4.234586,2,"Yeah, I think she was tired in the third set and she -- when she start -- when I start to play, you know, longer points she was really tired."
6.679471,6.0220428,2,"Yeah, Zack's preparation is probably the best in the game. There's a couple of guys here, too, as well, with Max and Stras and An??̻bal, those guys as well."
6.064596,2.6066506,2," I managed to hit some of my shots close, and the ones that I didn't I managed to save par."
6.7358747,2.949061,3,"  Yeah, he's just battling through the heel.  He was struggling to move a little bit but toughed it out, and we'll see how he feels tomorrow."
7.0717883,3.640201,3, It is like during the Wimbledon -- before the main game she was practicing and she injured at the Wimbledon.
7.3263984,6.405919,1,"Yeah, I mean, having them go out there and be aggressive, a lot of the credit goes to the scout defense.  Day-in and day-out they gave us a great look."
7.820422,6.6996655,2, I can't say that I turned it up because he doublefaulted three times.  I wish I could take credit for turning it up.
8.533572,3.6601472,2,"  It's unusual.  It's rare that you would dominate the 500 the way we did, support a single driver to win the drivers championship, then bring home the manufacturers trophy."
6.034313,4.931171,2,"I feel great. We've had good speed. I look at Vegas, if we didn't get the damage, get trapped down a lap there for a minute, we were really good there, capable of winning."
7.940009,6.503363,2," It's just about fairest match I play. Today I was expected to do win, I came through, I'm expected to win tomorrow and I'll go out and do what I do and hopefully things work out."
6.5352077,7.190629,6, We just said that we are going to make a couple of tournaments before the Open and the Open.  We didn't talk afterwards.
7.2727194,4.279588,6,"You obviously love your chances, you've won it twice before, what is it about that makes this event so special?"
6.5109806,2.610226,5,It's not a bad four-year run. It almost feels like it got started against us a few years ago at our place. And they've had their foot on the gas pedal ever since.
7.095362,6.6028976,5,"  I had so much champagne, I don't even remember what I said to my dad.  Probably I love him.  He's proud of me and I told him this is why we work, this is why we grind.  He congratulated me."
6.0806437,2.3584828,2,"  I hit pretty good tee shot and I have like 195 and it's like downwind, so I hit 6-iron and I have 20 feet and make the putt."
6.995408,6.2507625,2,"  I don't think Andre lacked anything.  I think Andre has all of the tools to be a great player, and he is a great player."
9.087023,6.138695,5,Absolutely. We're all about winning it all. That's what we're all about. That's what fan base is all about. I think we're going to field the Team that gives us the best opportunity to do that.
7.7059197,5.0314975,7," Last year I was here watching a little bit, yeah.  The year before, I am not sure, I might have been here too watching it.  I don't know."
8.825711,5.390748,2," Yeah, two weeks have been just great. No one expect me to go to the quarterfinal, it has been great two weeks.  I am happy that I won. After all, I am very satisfied."
7.5738173,5.6950707,2," You know, played very well the.  He gave me the opportunities; I took them.  That is why I played well."
9.119921,5.299315,5,"First of all, congratulations to Stanford. They played a great match tonight. And for our group, obviously disappointing for this season to come to an end after so many adventures that we went on together."
